problem,description,method,status,opt_val,solve_time,iter,time_per_iter,abs_gap,rel_gap,feas
qrd,2,QCE,Optimal,-0.020439453,0.007921497,10,0.00079215,5.81E-09,1.07E-09,3.56E-09
qrd,2,QRE,Optimal,-0.020439425,0.047931897,12,0.003994325,4.28E-09,4.60E-09,7.83E-10
qrd,4,QCE,Optimal,-1.795775193,0.046508373,21,0.002214684,1.01E-08,5.90E-09,8.19E-09
qrd,4,QRE,Optimal,-1.795774912,1.746281076,27,0.064677077,7.78E-09,5.25E-09,2.07E-09
qrd,6,QCE,Optimal,-2.1649661,0.271980585,25,0.010879223,1.30E-08,3.49E-09,3.04E-09
qrd,6,QRE,Optimal,-2.164965786,12.17757043,36,0.338265845,7.57E-09,2.48E-10,1.11E-08
qrd,8,QCE,Optimal,-2.474842456,1.190617808,30,0.03968726,8.24E-08,1.37E-08,9.21E-09
qrd,8,QRE,Optimal,-2.474840696,145.66967,52,2.801339807,4.32E-08,7.26E-09,4.88E-09
qrd,10,QCE,Optimal,-2.639051215,5.393817469,41,0.131556524,8.97E-08,1.33E-08,6.95E-09
qrd,10,QRE,Optimal,-2.639049051,2177.53274,61,35.69725803,9.15E-08,1.34E-08,3.13E-09
qrd,12,QCE,Optimal,-2.715458392,14.58015502,46,0.316959892,1.14E-07,1.34E-08,5.51E-09
qrd,12,QRE,Optimal,-2.715455773,11597.55001,80,144.9693751,1.30E-07,1.45E-08,1.89E-09
qrd,14,QCE,Optimal,-3.027506029,56.23167406,49,1.147585185,1.24E-07,9.00E-09,4.11E-09
qrd,14,QRE,Optimal,-3.027503089,100624.4725,91,1105.763434,5.10E-08,4.33E-09,1.16E-08
qrd,16,QCE,Optimal,-3.091110119,101.5711281,55,1.846747783,1.62E-07,1.00E-08,4.11E-09
qrd,16,QRE,OutOfMemoryError(),,,,,,,
qrd_ef,2,QRD,Optimal,-0.020439454,0.007924597,10,0.00079246,6.13E-09,4.51E-09,3.67E-09
qrd_ef,2,QRE*,Optimal,-0.020439429,0.00991739,11,0.000901581,1.00E-08,7.52E-09,1.10E-09
qrd_ef,2,QCE*,Optimal,-0.020439453,0.006918969,10,0.000691897,5.81E-09,1.07E-09,2.87E-09
qrd_ef,4,QRD,Optimal,-1.795775084,0.019923481,20,0.000996174,6.53E-09,1.43E-09,5.15E-09
qrd_ef,4,QRE*,Optimal,-1.795774902,0.079877362,23,0.003472929,6.38E-09,3.76E-09,4.36E-10
qrd_ef,4,QCE*,Optimal,-1.795775193,0.048885125,21,0.002327863,1.01E-08,7.51E-09,6.24E-09
qrd_ef,8,QRD,Optimal,-2.474842043,0.04356071,32,0.001361272,5.91E-08,3.85E-09,7.09E-09
qrd_ef,8,QRE*,Optimal,-2.474840712,0.377399569,38,0.009931568,5.63E-08,8.82E-09,6.61E-10
qrd_ef,8,QCE*,Optimal,-2.474841343,1.189058427,31,0.038356723,3.25E-08,6.63E-09,2.59E-09
qrd_ef,16,QRD,Optimal,-3.091114972,0.14280902,53,0.00269451,3.54E-07,1.26E-08,8.77E-09
qrd_ef,16,QRE*,Optimal,-3.091106259,3.030521436,87,0.03483358,1.26E-07,9.66E-09,6.09E-09
qrd_ef,16,QCE*,Optimal,-3.091110118,119.1142426,55,2.165713502,1.62E-07,1.10E-08,2.77E-09
qrd_ef,32,QRD,Optimal,-3.787392974,1.414079295,92,0.015370427,9.47E-07,1.20E-08,5.31E-09
qrd_ef,32,QRE*,Optimal,-3.787368334,52.95366615,186,0.28469713,2.26E-07,8.79E-09,1.31E-08
qrd_ef,32,QCE*,OutOfMemoryError(),,,,,,,
qrd_ef,64,QRD,Optimal,-4.464914723,11.1571698,137,0.081439196,3.27E-06,1.40E-08,4.88E-09
qrd_ef,64,QRE*,OutOfMemoryError(),,,,,,,
qrd_ef,64,QCE*,OutOfMemoryError(),,,,,,,
cc_ea,2,QMI,Optimal,-0.721937677,0.005926304,7,0.000846615,4.85E-10,8.96E-10,1.19E-10
cc_ea,2,QCE,Optimal,-0.721937846,0.00994109,10,0.000994109,8.00E-09,3.01E-09,2.60E-09
cc_ea,2,QRE,Optimal,-0.721937734,0.041936517,13,0.003225886,3.64E-09,9.82E-09,7.31E-10
cc_ea,4,QMI,Optimal,-1.428027907,0.005944442,8,0.000743055,1.63E-08,1.15E-08,5.45E-09
cc_ea,4,QCE,Optimal,-1.428027946,0.075927875,20,0.003796394,8.46E-11,3.86E-09,1.60E-10
cc_ea,4,QRE,Optimal,-1.428027877,1.383907463,32,0.043247108,4.52E-12,4.52E-12,7.35E-09
cc_ea,8,QMI,Optimal,-2.093171276,0.015922732,9,0.001769192,3.13E-08,7.18E-09,9.01E-09
cc_ea,8,QCE,Optimal,-2.093171439,0.675696973,23,0.029378129,1.53E-10,7.07E-09,2.14E-09
cc_ea,8,QRE,Optimal,-2.09317351,73.10047291,55,1.329099508,1.09E-08,1.12E-08,9.58E-09
cc_ea,16,QMI,Optimal,-2.772814073,0.092029735,9,0.010225526,2.77E-09,8.69E-11,4.08E-10
cc_ea,16,QCE,Optimal,-2.772814466,30.75388497,30,1.025129499,1.12E-10,3.79E-09,2.97E-10
cc_ea,16,QRE,OutOfMemoryError(),,,,,,,
cc_ea,32,QMI,Optimal,-3.466021508,1.601604163,12,0.133467014,4.99E-08,4.36E-10,6.37E-09
cc_ea,32,QCE,Optimal,-3.466023184,3338.219539,36,92.72832052,3.67E-10,9.17E-09,1.50E-09
cc_ea,32,QRE,OutOfMemoryError(),,,,,,,
cc_ea,64,QMI,Optimal,-4.159508736,47.31076074,15,3.154050716,4.39E-08,7.45E-10,2.99E-09
cc_ea,64,QCE,OutOfMemoryError(),,,,,,,
cc_ea,64,QRE,OutOfMemoryError(),,,,,,,
cc_qq,2,QCI,Optimal,-0.352743564,0.005935042,7,0.000847863,7.84E-10,1.31E-09,1.72E-10
cc_qq,2,QCE,Optimal,-0.35274357,0.010936018,13,0.000841232,5.07E-11,3.85E-10,3.69E-09
cc_qq,2,QRE,Optimal,-0.352743605,0.052933473,14,0.003780962,7.58E-10,1.67E-09,7.30E-10
cc_qq,4,QCI,Optimal,-0.311459126,0.006942269,6,0.001157045,3.16E-08,1.27E-08,3.11E-09
